Year,Acura NSX (NA2 manual),Ferrari 360 (gated manual),Audi R8 gen1 V10 (gated),Porsche 997.2 Turbo S,Corvette split-window (1963),Ferrari 328 GTS/GTB,Alfa Romeo GTV 1750/2000,Porsche Singer 911,Volvo P1800 (1800 family),Ferrari Dino 246 GT/GTS,Lotus Evora GT (2020-21)
2015,,,,,,,,,,,
2016,,,,,,,46.9,,-40.4,,
2017,,,,,-14.6,-16.0,-10.2,,9.7,,
2018,-5.8,,,,,5.9,17.5,,21.7,,
2019,13.9,-3.7,,,,-2.1,5.7,,-14.2,,
2020,53.4,0.0,-8.2,15.0,13.6,-14.1,-26.3,,12.7,-2.2,
2021,-6.9,30.4,94.9,36.2,20.6,40.2,39.3,,35.0,1.5,
2022,31.6,10.8,-18.0,0.9,27.0,28.7,25.9,,-6.6,57.4,
2023,-20.0,-4.1,-4.5,-17.3,18.8,-6.4,-14.2,,-1.9,-12.1,-7.9
2024,0.0,-3.9,-3.2,12.2,-13.7,-15.5,10.6,,8.1,-9.6,4.5
2025,1.9,24.3,18.0,2.3,-9.1,32.8,-13.2,,-2.8,-6.9,-0.2
2026,61.0,19.6,-2.1,40.9,17.4,8.2,0.8,18.6,-3.4,-3.0,5.3
